"TIME_IK";"hour";"minute";"ampm";"TRUNC_TIME"
"0000";0;0;"AM";"00:00:00"
"0001";0;1;"AM";"00:01:00"
"0002";0;2;"AM";"00:02:00"
"0003";0;3;"AM";"00:03:00"
"0004";0;4;"AM";"00:04:00"
"0005";0;5;"AM";"00:05:00"
"0006";0;6;"AM";"00:06:00"
"0007";0;7;"AM";"00:07:00"
"0008";0;8;"AM";"00:08:00"
"0009";0;9;"AM";"00:09:00"
"0010";0;10;"AM";"00:10:00"
"0011";0;11;"AM";"00:11:00"
"0012";0;12;"AM";"00:12:00"
"0013";0;13;"AM";"00:13:00"
"0014";0;14;"AM";"00:14:00"
"0015";0;15;"AM";"00:15:00"
"0016";0;16;"AM";"00:16:00"
"0017";0;17;"AM";"00:17:00"
"0018";0;18;"AM";"00:18:00"
"0019";0;19;"AM";"00:19:00"
"0020";0;20;"AM";"00:20:00"
"0021";0;21;"AM";"00:21:00"
"0022";0;22;"AM";"00:22:00"
"0023";0;23;"AM";"00:23:00"
"0024";0;24;"AM";"00:24:00"
"0025";0;25;"AM";"00:25:00"
"0026";0;26;"AM";"00:26:00"
"0027";0;27;"AM";"00:27:00"
"0028";0;28;"AM";"00:28:00"
"0029";0;29;"AM";"00:29:00"
"0030";0;30;"AM";"00:30:00"
"0031";0;31;"AM";"00:31:00"
"0032";0;32;"AM";"00:32:00"
"0033";0;33;"AM";"00:33:00"
"0034";0;34;"AM";"00:34:00"
"0035";0;35;"AM";"00:35:00"
"0036";0;36;"AM";"00:36:00"
"0037";0;37;"AM";"00:37:00"
"0038";0;38;"AM";"00:38:00"
"0039";0;39;"AM";"00:39:00"
"0040";0;40;"AM";"00:40:00"
"0041";0;41;"AM";"00:41:00"
"0042";0;42;"AM";"00:42:00"
"0043";0;43;"AM";"00:43:00"
"0044";0;44;"AM";"00:44:00"
"0045";0;45;"AM";"00:45:00"
"0046";0;46;"AM";"00:46:00"
"0047";0;47;"AM";"00:47:00"
"0048";0;48;"AM";"00:48:00"
"0049";0;49;"AM";"00:49:00"
"0050";0;50;"AM";"00:50:00"
"0051";0;51;"AM";"00:51:00"
"0052";0;52;"AM";"00:52:00"
"0053";0;53;"AM";"00:53:00"
"0054";0;54;"AM";"00:54:00"
"0055";0;55;"AM";"00:55:00"
"0056";0;56;"AM";"00:56:00"
"0057";0;57;"AM";"00:57:00"
"0058";0;58;"AM";"00:58:00"
"0059";0;59;"AM";"00:59:00"
"0100";1;0;"AM";"01:00:00"
"0101";1;1;"AM";"01:01:00"
"0102";1;2;"AM";"01:02:00"
"0103";1;3;"AM";"01:03:00"
"0104";1;4;"AM";"01:04:00"
"0105";1;5;"AM";"01:05:00"
"0106";1;6;"AM";"01:06:00"
"0107";1;7;"AM";"01:07:00"
"0108";1;8;"AM";"01:08:00"
"0109";1;9;"AM";"01:09:00"
"0110";1;10;"AM";"01:10:00"
"0111";1;11;"AM";"01:11:00"
"0112";1;12;"AM";"01:12:00"
"0113";1;13;"AM";"01:13:00"
"0114";1;14;"AM";"01:14:00"
"0115";1;15;"AM";"01:15:00"
"0116";1;16;"AM";"01:16:00"
"0117";1;17;"AM";"01:17:00"
"0118";1;18;"AM";"01:18:00"
"0119";1;19;"AM";"01:19:00"
"0120";1;20;"AM";"01:20:00"
"0121";1;21;"AM";"01:21:00"
"0122";1;22;"AM";"01:22:00"
"0123";1;23;"AM";"01:23:00"
"0124";1;24;"AM";"01:24:00"
"0125";1;25;"AM";"01:25:00"
"0126";1;26;"AM";"01:26:00"
"0127";1;27;"AM";"01:27:00"
"0128";1;28;"AM";"01:28:00"
"0129";1;29;"AM";"01:29:00"
